title,price,currency,mileage,mileage_unit,transmission,fuelType,link
DEAL-Honda Civic EX Coupe 2014-new tires/starter/back up camera/,8300,CAD,227000,km,Automatic,Gas,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/deal-honda-civic-ex-coupe-2014-new-tires-starter-back-up-camera/1725657886
Chevrolet spark lt 2020,15500,CAD,25000,km,Automatic,Gas,https://www.kijiji.ca/v-cars-trucks/longueuil-rive-sud/chevrolet-spark-lt-2020/1725657831
2022 Mazda CX-5 GS | Awd | Apple CarPlay | Awd | Apple CarPlay |,27295,CAD,63633,km,Automatic,Gas,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2022-mazda-cx-5-gs-awd-apple-carplay-awd-apple-carplay/1725405784
Veloster turbo,7000,CAD,153000,km,Automatic,Gas,https://www.kijiji.ca/v-cars-trucks/saint-hyacinthe/veloster-turbo/1725657793
2023 Toyota bZ4X XLE 100% électrique | Éco-performant | Aide,31169,CAD,36000,km,Automatic,Gas,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2023-toyota-bz4x-xle-100-electrique-eco-performant-aide/1724422061
2020 Toyota Corolla LE | Confort supérieur | Système de,21369,CAD,36669,km,Automatic,Gas,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2020-toyota-corolla-le-confort-superieur-systeme-de/1724422041
audi A4 2017,9995,CAD,257000,km,Automatic,Gas,https://www.kijiji.ca/v-cars-trucks/laval-rive-nord/audi-a4-2017/1725657699
Infiniti M45 2007,10000,CAD,97436,km,Automatic,Gas,https://www.kijiji.ca/v-cars-trucks/laval-rive-nord/infiniti-m45-2007/1725657490
Nissan Sentra SR 2014,4800,CAD,136200,km,Automatic,Gas,https://www.kijiji.ca/v-cars-trucks/laval-rive-nord/nissan-sentra-sr-2014/1725657176
Lapping car,9000,CAD,97000,km,Automatic,Gas,https://www.kijiji.ca/v-cars-trucks/laval-rive-nord/lapping-car/1725657047
2021 Volvo XC40,33986,CAD,62791,km,Automatic,Gas,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2021-volvo-xc40/1724479356
2021 Volvo XC60,37993,CAD,77154,km,Automatic,Gas,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2021-volvo-xc60/1724539382
2021 Volvo S60,34997,CAD,72826,km,Automatic,Gas,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2021-volvo-s60/1724532178
Honda Fit 2013 avec transmission manuelle et seulement 106000km,9400,CAD,106000,km,Automatic,Gas,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/honda-fit-2013-avec-transmission-manuelle-et-seulement-106000km/1725656805
"super 2020 Nissan qashqai extended warranty, Nissan three years!",20450,CAD,60100,km,Automatic,Gas,https://www.kijiji.ca/v-cars-trucks/laval-rive-nord/super-2020-nissan-qashqai-extended-warranty-nissan-three-years/1725656565
Honda civic,1500,CAD,167000,km,Automatic,Gas,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/honda-civic/1725656493
2014 Audi Q5 Premuim Plus,11900,CAD,130500,km,Automatic,Gas,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2014-audi-q5-premuim-plus/1724691600
Jeep Grand Cherokee 2018 Diesel,28000,CAD,126000,km,Automatic,Gas,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/jeep-grand-cherokee-2018-diesel/1725204914
2021 Volkswagen Tiguan Highline 2.0T 8sp at w/Tip 4M,24493,CAD,105000,km,Automatic,Gas,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2021-volkswagen-tiguan-highline-2-0t-8sp-at-w-tip-4m/1724349911
2021 Lexus IS 300 Luxe / Camera / Bluetooth / Cuir Bien Équipé /,35099,CAD,100877,km,Automatic,Gas,https://www.kijiji.ca/v-cars-trucks/laval-rive-nord/2021-lexus-is-300-luxe-camera-bluetooth-cuir-bien-equipe/1724452461
2023 BMW X4 M40i | Gr. Sup. Essentiel | Accès confort,64949,CAD,71532,km,Automatic,Gas,https://www.kijiji.ca/v-cars-trucks/laval-rive-nord/2023-bmw-x4-m40i-gr-sup-essentiel-acces-confort/1724492097
2021 BMW X7 ALPINA XB7 | Groupe Premium |,112949,CAD,53319,km,Automatic,Gas,https://www.kijiji.ca/v-cars-trucks/laval-rive-nord/2021-bmw-x7-alpina-xb7-groupe-premium/1724313316
2021 BMW 3 Series 330i xDrive | Édition M Sport | Gr. M Sport,32949,CAD,88297,km,Automatic,Gas,https://www.kijiji.ca/v-cars-trucks/laval-rive-nord/2021-bmw-3-series-330i-xdrive-edition-m-sport-gr-m-sport/1724710969
2025 BMW iX xDrive40,84949,CAD,6214,km,Automatic,Gas,https://www.kijiji.ca/v-cars-trucks/laval-rive-nord/2025-bmw-ix-xdrive40/1724441512
2025 Hyundai Palisade Ultimate Calligraphy Night,58949,CAD,7649,km,Automatic,Gas,https://www.kijiji.ca/v-cars-trucks/laval-rive-nord/2025-hyundai-palisade-ultimate-calligraphy-night/1724502611
2019 BMW 5 Series 530e xDrive iPerformance | Gr. Essentiel,35949,CAD,75721,km,Automatic,Gas,https://www.kijiji.ca/v-cars-trucks/laval-rive-nord/2019-bmw-5-series-530e-xdrive-iperformance-gr-essentiel/1724313249
2020 Jeep Cherokee Altitude,23449,CAD,86079,km,Automatic,Gas,https://www.kijiji.ca/v-cars-trucks/laval-rive-nord/2020-jeep-cherokee-altitude/1724551987
2023 BMW M4 COUPE | Gr. M Carbone | Gr. Sup,99949,CAD,8426,km,Automatic,Gas,https://www.kijiji.ca/v-cars-trucks/laval-rive-nord/2023-bmw-m4-coupe-gr-m-carbone-gr-sup/1724710952
2023 BMW X7 M60i | Groupe M Sport Pro |,112949,CAD,50887,km,Automatic,Gas,https://www.kijiji.ca/v-cars-trucks/laval-rive-nord/2023-bmw-x7-m60i-groupe-m-sport-pro/1724554390
